direction	angle	index	help	smooth							
left	-60	1	5	1							
left	-92	1	6	1							
left	-60	1	7	1							
left	-98	1	8	1							
left	-59	1	9	1							
left	-62	1	10	1							
right	80	-1	1	1							
left	-95	1	1	1							
left	-95	1	2	1							
left	-91	1	3	1							
left	-55	1	4	1							
left	-57	1	5	1							
left	-90	1	6	1							
right	100	-1	1	1							
left	-94	1	1	1							
left	-97	1	2	1							
left	-88	1	3	1							
left	-89	1	4	1							
left	-90	1	5	1							
left	-92	1	6	1							
left	-91	1	7	1							
left	-100	1	8	1							
left	-54	1	9	1							
left	-83	1	10	1							
left	-91	1	11	1							
left	-88	1	12	1							
left	-87	1	13	1							
left	-85	1	14	1							
left	-85	1	15	1							
left	-87	1	16	1							
left	-90	1	17	1							
left	-88	1	18	1							
left	-85	1	19	1							
left	-85	1	20	1							
straight	-15	0	1	1							
left	-48	1	1	1							
left	-82	1	2	1							
left	-47	1	3	1							
left	-78	1	4	1							
left	-44	1	5	1							
left	-84	1	6	1							
left	-27	1	7	1							
left	-47	1	8	1							
left	-46	1	9	1							
left	-42	1	10	1							
left	-79	1	11	1							
left	-100	1	12	1							
straight	-20	0	1	1							
right	95	-1	1	1							
left	-77	1	1	1							
left	-39	1	2	1							
left	-80	1	3	1							
left	-72	1	4	1							
left	-36	1	5	1							
right	100	-1	1	1							
left	-74	1	1	1							
left	-26	1	2	1							
left	-31	1	3	1							
left	-34	1	4	1							
left	-65	1	5	1							
right	100	-1	1	1							
straight	-9	0	1	1							
left	-30	1	1	1							
left	-59	1	2	1							
left	-29	1	3	1							
left	-30	1	4	1							
straight	-3	0	1	1							
left	-66	1	1	1							
left	-63	1	2	1							
straight	0	0	1	1							
straight	-23	0	2	1							
left	-66	1	1	1							
straight	-21	0	1	1							
straight	8	0	2	1							
straight	-18	0	3	1							
straight	5	0	4	1							
straight	-15	0	5	1							
straight	-16	0	6	0							
straight	-13	0	7	0							
straight	8	0	8	0							
right	39	-1	1	0							
left	-48	1	1	0							
straight	-9	0	1	0							
left	-46	1	1	0							
straight	-5	0	1	0							
left	-36	1	1	0							
straight	0	0	1	0							
right	57	-1	1	0							
straight	0	0	1	0							
left	-37	1	1	0							
straight	0	0	1	0							
straight	2	0	2	0							
left	-31	1	1	0							
left	-35	1	2	0							
left	-29	1	3	0							
left	-31	1	4	0							
straight	2	0	1	0							
straight	6	0	2	0							
left	-27	1	1	0							
straight	6	0	1	0							
straight	7	0	2	0							
straight	6	0	3	0							
straight	7	0	4	0							
left	-28	1	1	0							
straight	-24	0	1	0							
straight	9	0	2	0							
right	84	-1	1	0							
straight	9	0	1	0							
right	35	-1	1	0							
right	97	-1	2	0							
right	35	-1	3	0							
straight	9	0	1	0							
straight	-22	0	2	0							
straight	5	0	3	0							
straight	4	0	4	0							
straight	4	0	5	0							
straight	4	0	6	0							
straight	5	0	7	0							
left	-35	1	1	0							
left	-34	1	2	0							
left	-38	1	3	0							
straight	2	0	1	0							
straight	0	0	2	0							
right	26	-1	1	0							
straight	0	0	1	0							
straight	1	0	2	0							
straight	-1	0	3	0							
straight	19	0	4	0							
straight	-4	0	5	0							
straight	-1	0	6	0							
left	-35	1	1	0							
straight	0	0	1	0							
straight	0	0	2	0							
straight	-3	0	3	0							
straight	-2	0	4	0							
straight	-2	0	5	0							
straight	0	0	6	0							
straight	0	0	7	0							
left	-39	1	1	0							
straight	-2	0	1	0							
straight	0	0	2	0							
straight	0	0	3	0							
straight	0	0	4	0							
straight	25	0	5	0							
straight	1	0	6	0							
straight	1	0	7	0							
straight	-2	0	8	0							
straight	-2	0	9	0							
right	27	-1	1	0							
straight	-1	0	1	0							
right	27	-1	1	0							
straight	0	0	1	0							
right	27	-1	1	0							
right	27	-1	2	0							
straight	1	0	1	0							
straight	3	0	2	0							
straight	-1	0	3	0							
left	-40	1	1	0							
straight	0	0	1	0							
straight	0	0	2	0							
straight	2	0	3	0							
straight	3	0	4	0							
straight	2	0	5	0							
straight	25	0	6	0							
straight	1	0	7	0							
straight	4	0	8	0							
straight	2	0	9	0							
straight	2	0	10	0							
straight	2	0	11	0							
straight	0	0	12	0							
straight	1	0	13	0							
straight	0	0	14	0							
straight	17	0	15	0							
straight	13	0	16	0							
straight	0	0	17	0							
left	-42	1	1	0							
straight	0	0	1	0							
straight	2	0	2	0							
straight	11	0	3	0							
